"","School.Name","Region","School.Type","Starting.Median.Salary","Mid.Career.10th.Percentile.Salary","Mid.Career.25th.Percentile.Salary","Mid.Career.Median.Salary","Mid.Career.75th.Percentile.Salary","Mid.Career.90th.Percentile.Salary"
"1","Adelphi University","Northeastern","Unknown","$40,600.00","$44,200.00","$54,800.00","$79,200.00","$114,000.00","$160,000.00"
"2","American University, Washington D.C.","Southern","Unknown","$45,300.00","$45,200.00","$62,400.00","$90,800.00","$134,000.00","$169,000.00"
"3","Amherst College","Northeastern","Liberal Arts","$54,500.00","N/A","$84,900.00","$107,000.00","$162,000.00","N/A"
"4","Appalachian State University","Southern","State","$40,400.00","$37,200.00","$50,400.00","$69,100.00","$90,800.00","$115,000.00"
"5","Arizona State University (ASU)","Western","Party","$47,400.00","$44,600.00","$60,700.00","$84,100.00","$114,000.00","$163,000.00"
"6","Arizona State University (ASU)","Western","State","$47,400.00","$44,600.00","$60,700.00","$84,100.00","$114,000.00","$163,000.00"
"7","Arkansas State University (ASU)","Southern","State","$38,700.00","$33,600.00","$45,300.00","$63,300.00","$83,900.00","$118,000.00"
"8","Auburn University","Southern","State","$45,400.00","$45,400.00","$62,700.00","$84,700.00","$109,000.00","$145,000.00"
"9","Austin Peay State University","Southern","State","$37,700.00","$32,200.00","$40,500.00","$59,200.00","$73,900.00","$96,200.00"
"10","Ball State University (BSU)","Midwestern","State","$39,100.00","$35,500.00","$48,200.00","$64,500.00","$89,300.00","$128,000.00"
"11","Bates College","Northeastern","Liberal Arts","$47,300.00","N/A","$60,700.00","$96,500.00","$162,000.00","N/A"
"12","Baylor University","Southern","Unknown","$48,300.00","$46,300.00","$60,700.00","$88,600.00","$130,000.00","$200,000.00"
"13","Binghamton University","Northeastern","State","$53,600.00","$50,900.00","$71,200.00","$95,900.00","$146,000.00","$201,000.00"
"14","Black Hills State University","Midwestern","State","$35,300.00","N/A","$32,200.00","$43,900.00","$60,900.00","N/A"
"15","Boise State University (BSU)","Western","State","$40,800.00","$37,400.00","$48,700.00","$69,500.00","$87,500.00","$110,000.00"
"16","Boston College","Northeastern","Unknown","$52,700.00","$48,900.00","$70,000.00","$103,000.00","$143,000.00","$195,000.00"
"17","Boston University","Northeastern","Unknown","$49,000.00","$48,000.00","$64,900.00","$93,900.00","$130,000.00","$193,000.00"
"18","Bowdoin College","Northeastern","Liberal Arts","$48,100.00","N/A","$74,600.00","$107,000.00","$146,000.00","N/A"
"19","Bowling Green State University","Midwestern","State","$39,800.00","$38,200.00","$51,800.00","$72,100.00","$101,000.00","$146,000.00"
"20","Bradley University","Midwestern","Unknown","$47,000.00","$45,900.00","$64,900.00","$87,300.00","$113,000.00","$151,000.00"
"21","Brigham Young University (BYU)","Western","Unknown","$49,400.00","$50,600.00","$68,500.00","$88,600.00","$119,000.00","$164,000.00"
"22","Brown University","Northeastern","Ivy League","$56,200.00","$55,400.00","$74,400.00","$109,000.00","$159,000.00","$228,000.00"
"23","Bucknell University","Northeastern","Liberal Arts","$54,100.00","$62,800.00","$80,600.00","$110,000.00","$156,000.00","$251,000.00"
"24","Cal Poly San Luis Obispo","California","State","$57,200.00","$55,000.00","$74,700.00","$101,000.00","$133,000.00","$178,000.00"
"25","California Institute of Technology (CIT)","California","Engineering","$75,500.00","N/A","$104,000.00","$123,000.00","$161,000.00","N/A"
"26","California State University (CSU), Chico","California","State","$47,400.00","$46,800.00","$62,800.00","$88,100.00","$122,000.00","$154,000.00"
"27","California State University (CSU), Stanislaus","California","State","$38,000.00","N/A","$50,500.00","$71,400.00","$94,100.00","N/A"
"28","California State University, Dominguez Hills (CSUDH)","California","State","$42,700.00","$30,800.00","$47,000.00","$72,100.00","$92,200.00","$132,000.00"
"29","California State University, East Bay (CSUEB)","California","State","$49,200.00","$46,000.00","$62,400.00","$84,300.00","$115,000.00","$155,000.00"
"30","California State University, Fullerton (CSUF)","California","State","$45,700.00","$45,400.00","$62,500.00","$87,000.00","$119,000.00","$158,000.00"
"31","California State University, Long Beach (CSULB)","California","State","$45,100.00","$47,400.00","$62,500.00","$84,700.00","$113,000.00","$154,000.00"
"32","California State University, Northridge (CSUN)","California","State","$45,500.00","$44,500.00","$57,800.00","$80,400.00","$108,000.00","$153,000.00"
"33","California State University, Sacramento (CSUS)","California","State","$47,800.00","$42,900.00","$59,600.00","$82,400.00","$111,000.00","$154,000.00"
"34","Carleton College","Midwestern","Liberal Arts","$47,500.00","N/A","$69,400.00","$103,000.00","$141,000.00","N/A"
"35","Carnegie Mellon University (CMU)","Northeastern","Engineering","$61,800.00","$63,300.00","$80,100.00","$111,000.00","$150,000.00","$209,000.00"
"36","Case Western Reserve University","Midwestern","Unknown","$56,200.00","$54,900.00","$76,500.00","$96,500.00","$123,000.00","$168,000.00"
"37","Clemson University","Southern","State","$48,400.00","$50,500.00","$61,800.00","$86,000.00","$111,000.00","$150,000.00"
"38","Cleveland State University","Midwestern","State","$43,500.00","$39,500.00","$51,600.00","$73,100.00","$97,000.00","$137,000.00"
"39","Colby College","Northeastern","Liberal Arts","$46,400.00","N/A","$63,500.00","$85,800.00","$129,000.00","N/A"
"40","Colgate University","Northeastern","Liberal Arts","$52,800.00","$60,000.00","$76,700.00","$108,000.00","$167,000.00","$265,000.00"
"41","College of the Holy Cross","Northeastern","Liberal Arts","$50,200.00","N/A","$65,600.00","$106,000.00","$143,000.00","N/A"
"42","Colorado College (CC)","Western","Liberal Arts","$38,500.00","N/A","$43,000.00","$81,400.00","$148,000.00","N/A"
"43","Colorado School of Mines","Western","Engineering","$58,100.00","$62,200.00","$87,900.00","$106,000.00","$142,000.00","$201,000.00"
"44","Colorado State University (CSU)","Western","State","$44,800.00","$43,800.00","$57,100.00","$79,000.00","$112,000.00","$150,000.00"
"45","Columbia University","Northeastern","Ivy League","$59,400.00","$50,300.00","$71,900.00","$107,000.00","$161,000.00","$241,000.00"
"46","Cooper Union","Northeastern","Engineering","$62,200.00","N/A","$80,200.00","$114,000.00","$142,000.00","N/A"
"47","Cornell University","Northeastern","Ivy League","$60,300.00","$56,800.00","$79,800.00","$110,000.00","$160,000.00","$210,000.00"
"48","Dallas Baptist University","Southern","Unknown","$39,400.00","$38,500.00","$50,300.00","$60,200.00","$81,800.00","$98,100.00"
"49","Dartmouth College","Northeastern","Ivy League","$58,000.00","$63,100.00","$90,200.00","$134,000.00","$234,000.00","$321,000.00"
"50","Davenport University","Midwestern","Unknown","$39,700.00","$31,600.00","$38,100.00","$46,600.00","$65,600.00","$85,700.00"
"51","Davidson College","Southern","Liberal Arts","$46,100.00","N/A","$70,500.00","$104,000.00","$146,000.00","N/A"
"52","Denison University","Midwestern","Liberal Arts","$42,000.00","N/A","$62,100.00","$83,500.00","$122,000.00","N/A"
"53","DePaul University","Midwestern","Unknown","$46,400.00","$50,300.00","$63,900.00","$84,800.00","$115,000.00","$160,000.00"
"54","DePauw University","Midwestern","Liberal Arts","$41,400.00","$49,500.00","$57,400.00","$88,200.00","$133,000.00","$185,000.00"
"55","Dowling College","Northeastern","Unknown","$41,100.00","$46,500.00","$60,600.00","$82,800.00","$117,000.00","$142,000.00"
"56","Drexel University","Northeastern","Unknown","$53,400.00","$54,900.00","$72,500.00","$93,500.00","$122,000.00","$161,000.00"
"57","Duke University","Southern","Unknown","$58,900.00","$56,000.00","$77,400.00","$106,000.00","$149,000.00","$218,000.00"
"58","Duquesne University","Northeastern","Unknown","$40,700.00","$42,600.00","$59,500.00","$84,400.00","$107,000.00","$131,000.00"
"59","East Carolina University (ECU)","Southern","State","$40,200.00","$38,400.00","$52,000.00","$67,500.00","$98,700.00","$151,000.00"
"60","Eastern Michigan University","Midwestern","State","$40,300.00","$37,900.00","$52,800.00","$72,100.00","$95,400.00","$135,000.00"
"61","Eastern Washington University","Western","State","$38,600.00","$36,000.00","$50,500.00","$70,900.00","$93,100.00","$117,000.00"
"62","Embry-Riddle Aeronautical University (ERAU)",NA,"Engineering",NA,NA,NA,NA,NA,NA
"63","Emory University","Southern","Unknown","$52,000.00","$52,500.00","$63,300.00","$91,600.00","$128,000.00","$192,000.00"
"64","Evergreen State College","Western","Liberal Arts","$39,500.00","$38,800.00","$47,200.00","$63,900.00","$91,600.00","$120,000.00"
"65","Fairleigh Dickinson University","Northeastern","Unknown","$45,700.00","$40,200.00","$56,300.00","$78,700.00","$112,000.00","$171,000.00"
"66","Fashion Institute of Technology","Northeastern","Unknown","$42,800.00","$38,800.00","$60,500.00","$81,000.00","$106,000.00","$138,000.00"
"67","Fitchburg State College","Northeastern","State","$42,400.00","$43,300.00","$56,100.00","$72,600.00","$99,600.00","$151,000.00"
"68","Florida Atlantic University (FAU)","Southern","State","$42,600.00","$40,700.00","$53,000.00","$71,100.00","$99,500.00","$137,000.00"
