School.Name,Region,Starting.Median.Salary,Mid.Career.Median.Salary,Mid.Career.10th.Percentile.Salary,Mid.Career.25th.Percentile.Salary,Mid.Career.75th.Percentile.Salary,Mid.Career.90th.Percentile.Salary,lon,lat
Stanford University,California,"70,400.00","129,000.00","68,400.00","93,100.00","184,000.00","257,000.00",-122.169719,37.4274745
California Institute of Technology (CIT),California,"75,500.00","123,000.00",N/A,"104,000.00","161,000.00",N/A,-118.125269,34.1376576
Harvey Mudd College,California,"71,800.00","122,000.00",N/A,"96,000.00","180,000.00",N/A,-117.7104699,34.1060817
"University of California, Berkeley",California,"59,900.00","112,000.00","59,500.00","81,000.00","149,000.00","201,000.00",-122.2585399,37.8718992
Occidental College,California,"51,900.00","105,000.00",N/A,"54,800.00","157,000.00",N/A,-118.2105035,34.1273615
Cal Poly San Luis Obispo,California,"57,200.00","101,000.00","55,000.00","74,700.00","133,000.00","178,000.00",-120.6624942,35.3050053
University of California at Los Angeles (UCLA),California,"52,600.00","101,000.00","51,300.00","72,500.00","139,000.00","193,000.00",-118.4451811,34.068921
"University of California, San Diego (UCSD)",California,"51,100.00","101,000.00","51,700.00","75,400.00","131,000.00","177,000.00",-117.2340135,32.8800604
Pomona College,California,"48,600.00","101,000.00",N/A,"63,300.00","161,000.00",N/A,-117.711803,34.097743
University of Southern California (USC),California,"54,800.00","99,600.00","49,700.00","73,800.00","140,000.00","201,000.00",-118.285117,34.0223519
"University of California, Davis",California,"52,300.00","99,600.00","52,000.00","71,600.00","135,000.00","202,000.00",-121.7617125,38.5382322
"University of California, Irvine (UCI)",California,"48,300.00","96,700.00","47,800.00","66,000.00","123,000.00","172,000.00",-117.8442962,33.6404952
San Jose State University (SJSU),California,"53,500.00","95,600.00","50,700.00","70,500.00","122,000.00","156,000.00",-121.8810715,37.3351874
"University of California, Santa Barbara (UCSB)",California,"50,500.00","95,000.00","51,300.00","71,200.00","129,000.00","173,000.00",-119.848947,34.4139629
"California State University (CSU), Chico",California,"47,400.00","88,100.00","46,800.00","62,800.00","122,000.00","154,000.00",-121.8473287,39.729575
"California State University, Fullerton (CSUF)",California,"45,700.00","87,000.00","45,400.00","62,500.00","119,000.00","158,000.00",-117.8869261,33.8829226
San Francisco State University (SFSU),California,"47,300.00","86,400.00","45,100.00","62,700.00","114,000.00","150,000.00",-122.4782094,37.721897
San Diego State University (SDSU),California,"46,200.00","85,200.00","45,500.00","61,800.00","116,000.00","158,000.00",-117.0693867,32.7747307
"California State University, Long Beach (CSULB)",California,"45,100.00","84,700.00","47,400.00","62,500.00","113,000.00","154,000.00",-118.1140904,33.7838235
"California State University, East Bay (CSUEB)",California,"49,200.00","84,300.00","46,000.00","62,400.00","115,000.00","155,000.00",-122.0566765,37.6563446
"University of California, Santa Cruz (UCSC)",California,"44,700.00","84,100.00","46,100.00","62,000.00","121,000.00","165,000.00",-122.0608718,36.9913856
"California State University, Sacramento (CSUS)",California,"47,800.00","82,400.00","42,900.00","59,600.00","111,000.00","154,000.00",-121.4240425,38.5611436
"University of California, Riverside (UCR)",California,"46,800.00","81,300.00","37,200.00","59,900.00","109,000.00","134,000.00",-117.3280644,33.9737055
"California State University, Northridge (CSUN)",California,"45,500.00","80,400.00","44,500.00","57,800.00","108,000.00","153,000.00",-118.5280687,34.2425947
"California State University, Dominguez Hills (CSUDH)",California,"42,700.00","72,100.00","30,800.00","47,000.00","92,200.00","132,000.00",-118.2552809,33.8633706
"California State University (CSU), Stanislaus",California,"38,000.00","71,400.00",N/A,"50,500.00","94,100.00",N/A,-120.8568887,37.5245713
Humboldt State University,California,"42,600.00","71,300.00","36,000.00","56,300.00","94,400.00","117,000.00",-124.077821,40.8752748
Thomas Aquinas College,California,"41,500.00","67,500.00",N/A,"44,600.00","93,100.00",N/A,-119.0887955,34.4293241
Colorado School of Mines,Western,"58,100.00","106,000.00","62,200.00","87,900.00","142,000.00","201,000.00",-105.2225705,39.7510136
University of Colorado - Boulder (UCB),Western,"47,100.00","97,600.00","51,600.00","69,000.00","128,000.00","187,000.00",-105.2659417,40.007581
New Mexico Institute of Mining and Technology (New Mexico Tech),Western,"51,000.00","93,400.00",N/A,"67,400.00","123,000.00",N/A,-106.905611,34.065993
Brigham Young University (BYU),Western,"49,400.00","88,600.00","50,600.00","68,500.00","119,000.00","164,000.00",-111.6493156,40.2518435
